date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:13:52	108593/108593	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-1a831%22	https://bchiang7.github.io/v2/img/portfolio/screentime/screentime-3.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/screentime/screentime-3.jpg	(from https://bchiang7.github.io/v2/)
01:13:52	101205/101205	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-18b55%22	https://bchiang7.github.io/v2/img/portfolio/screentime/screentime-4.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/screentime/screentime-4.jpg	(from https://bchiang7.github.io/v2/)
01:13:53	53270/53270	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-d016%22	https://bchiang7.github.io/v2/img/portfolio/resume/resume.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/resume/resume.jpg	(from https://bchiang7.github.io/v2/)
01:13:53	22169/22169	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-5699%22	https://bchiang7.github.io/v2/img/portfolio/resume/resume-tablet.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/resume/resume-tablet.jpg	(from https://bchiang7.github.io/v2/)
01:13:53	29389/29389	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-72cd%22	https://bchiang7.github.io/v2/img/portfolio/resume/resume-mobile.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/resume/resume-mobile.jpg	(from https://bchiang7.github.io/v2/)
01:13:53	40613/40613	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-9ea5%22	https://bchiang7.github.io/v2/img/portfolio/websitev1/websitev1.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/websitev1/websitev1.jpg	(from https://bchiang7.github.io/v2/)
01:13:53	33136/33136	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-8170%22	https://bchiang7.github.io/v2/img/portfolio/websitev1/websitev1-tablet.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/websitev1/websitev1-tablet.jpg	(from https://bchiang7.github.io/v2/)
01:13:54	16494/16494	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-406e%22	https://bchiang7.github.io/v2/img/portfolio/websitev1/websitev1-mobile.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/websitev1/websitev1-mobile.jpg	(from https://bchiang7.github.io/v2/)
01:13:54	57399/57399	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-e037%22	https://bchiang7.github.io/v2/img/portfolio/coursesource/coursesource.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/coursesource/coursesource.jpg	(from https://bchiang7.github.io/v2/)
01:13:54	35390/35390	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-8a3e%22	https://bchiang7.github.io/v2/img/portfolio/coursesource/coursesource-tablet.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/coursesource/coursesource-tablet.jpg	(from https://bchiang7.github.io/v2/)
01:13:54	10859/10859	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-2a6b%22	https://bchiang7.github.io/v2/img/portfolio/coursesource/coursesource-mobile.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/coursesource/coursesource-mobile.jpg	(from https://bchiang7.github.io/v2/)
01:13:54	41501/41501	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-a21d%22	https://bchiang7.github.io/v2/img/portfolio/nuwit/nuwit.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/nuwit/nuwit.jpg	(from https://bchiang7.github.io/v2/)
01:13:55	37340/37340	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-91dc%22	https://bchiang7.github.io/v2/img/portfolio/nuwit/nuwit-tablet.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/nuwit/nuwit-tablet.jpg	(from https://bchiang7.github.io/v2/)
01:13:55	25652/25652	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-6434%22	https://bchiang7.github.io/v2/img/portfolio/nuwit/nuwit-mobile.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/nuwit/nuwit-mobile.jpg	(from https://bchiang7.github.io/v2/)
01:13:55	29496/29496	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-7338%22	https://bchiang7.github.io/v2/img/portfolio/fontipsums/fontipsums.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/fontipsums/fontipsums.jpg	(from https://bchiang7.github.io/v2/)
01:13:55	22856/22856	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-5948%22	https://bchiang7.github.io/v2/img/portfolio/fontipsums/fontipsums-tablet.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/fontipsums/fontipsums-tablet.jpg	(from https://bchiang7.github.io/v2/)
